Periode,TYPE_EENHEID,NIS_CODE_EENHEID,LABEL_EENHEID,AANTAL fieldLabel_nl,TOTAAL
202106,Gemeente,11001,Aartselaar,4,14455
202106,Gemeente,11009,Brecht,4,29809
202106,Gemeente,11013,Edegem,14,22244
202106,Gemeente,11018,Hemiksem,3,11722
202106,Gemeente,11021,Hove,1,8287
202106,Gemeente,11035,Ranst,1,19249
202106,Gemeente,11052,Wommelgem,0,12991
202106,Gemeente,12014,Heist-Op-Den-Berg,11,43096
202106,Gemeente,12021,Lier,43,36923
202106,Gemeente,13001,Arendonk,0,13207
202106,Gemeente,13004,Beerse,1,18194
202106,Gemeente,13010,Grobbendonk,0,11249
202106,Gemeente,13016,Hulshout,1,10553
202106,Gemeente,13031,Oud-Turnhout,2,14201
202106,Gemeente,21006,Evere,138,43061
202106,Gemeente,21012,Sint-Jans-Molenbeek,600,98112
202106,Gemeente,21016,Ukkel,97,84774
202106,Gemeente,21018,Sint-Lambrechts-Woluwe,96,58010
202106,Gemeente,72030,Peer,3,16421
202106,Gemeente,73006,Bilzen,14,32536
202106,Gemeente,73009,Borgloon,2,11123
202106,Gemeente,73040,Kortessem,4,8443
202106,Gemeente,73066,Riemst,0,16709
202106,Gemeente,81004,Aubange,2,17251
202106,Gemeente,81013,Martelange,1,1916
202106,Gemeente,82014,Houffalize,0,5236
202106,Gemeente,82036,Vaux-sur-Sûre,0,5862
202106,Gemeente,82037,Gouvy,1,5404
202106,Gemeente,83012,Durbuy,7,11531
202106,Gemeente,83031,La Roche-En-Ardenne,1,4213
202106,Gemeente,83034,Marche-En-Famenne,11,17658
202106,Gemeente,84033,Léglise,0,5626
202106,Gemeente,84043,Neufchâteau,0,7836
202106,Gemeente,84075,Wellin,0,3114
202106,Gemeente,85034,Saint-Léger,0,3691
202106,Gemeente,91114,Rochefort,7,12648
202106,Gemeente,92003,Andenne,1,27669
202106,Gemeente,92035,Éghezée,0,16487
202106,Gemeente,92048,Fosses-La-Ville,0,10426
202106,Gemeente,92094,Namen,265,111603
202106,Gemeente,57064,Peruwelz,4,17178
202106,Gemeente,57072,Rumes,0,5246
202106,Gemeente,57096,Moeskroen (vanaf 2019),18,58862
202106,Gemeente,57097,Komen-Waasten (vanaf 2019),2,18090
202106,Gemeente,58003,Estinnes (vanaf 2019),2,7835
202106,Gemeente,58004,Morlanwelz (vanaf 2019),0,19162
202106,Gemeente,61080,Engis,6,6207
202106,Gemeente,61081,Tinlot,0,2720
202106,Gemeente,62015,Beyne-Heusay,5,11962
202106,Gemeente,62032,Esneux,3,13018
202106,Gemeente,62038,Fléron,8,16214
202106,Gemeente,62118,Grâce-Hollogne,18,22860
202106,Gemeente,63001,Amel,0,5523
202106,Gemeente,63040,Kelmis,21,11086
202106,Gemeente,63057,Olne,0,4051
202106,Gemeente,63061,Raeren,3,10889
202106,Gemeente,63073,Stavelot,1,7195
202106,Gemeente,63079,Verviers,218,55159
202106,Gemeente,63086,Trois-Ponts,0,2555
202106,Gemeente,63087,Burg-Reuland,2,3949
202106,Gemeente,64034,Hannuit,0,16824
202106,Gemeente,64047,Lijsem,0,3318
202106,Gemeente,64056,Oerle,4,3916
202106,Gemeente,64076,Faimes,0,3945
202106,Gemeente,71016,Genk,38,66673
202106,Gemeente,23038,Kampenhout,0,12280
202106,Gemeente,23100,Linkebeek,0,4739
202106,Gemeente,23105,Affligem,5,13407
202106,Gemeente,24009,Bertem,5,10190
202106,Gemeente,24038,Herent,7,22046
202106,Gemeente,24107,Tienen,29,35545
202106,Gemeente,25044,Itter,3,7021
202106,Gemeente,25050,Terhulpen,1,7441
202106,Gemeente,25105,Tubeke,18,27338
202106,Gemeente,25112,Waver,5,34826
202106,Gemeente,25121,Ottignies-Louvain-La-Neuve,18,31158
202106,Gemeente,31004,Blankenberge,9,20479
202106,Gemeente,31022,Oostkamp,0,23832
202106,Gemeente,33037,Zonnebeke,0,12511
202106,Gemeente,33040,Langemark-Poelkapelle,0,7843
202106,Gemeente,34023,Kuurne,10,13794
202106,Gemeente,34042,Zwevegem,0,24853
202106,Gemeente,36007,Ingelmunster,2,11189
202106,Gemeente,37002,Dentergem,0,8644
202106,Gemeente,37011,Pittem,0,6784
202106,Gemeente,38002,Alveringem,0,5024
202106,Gemeente,38016,Nieuwpoort,1,11667
202106,Gemeente,41024,Haaltert,0,18892
202106,Gemeente,41048,Ninove,8,39369
202106,Gemeente,42003,Berlare,1,15222
202106,Gemeente,42006,Dendermonde,41,46015
202106,Gemeente,43018,Zelzate,0,13124
202106,Gemeente,44085,Lievegem (vanaf 2019),6,26441
202106,Gemeente,51009,Bernissart,1,11804
202106,Gemeente,51014,Chièvres,2,6942
202106,Gemeente,52018,Farciennes,4,11251
202106,Gemeente,52075,Les Bons Villers,1,9463
202106,Gemeente,53083,Honnelles,0,5130
202106,Gemeente,44048,Nazareth,1,11844
202106,Gemeente,45061,Wortegem-Petegem,0,6445
202106,Gemeente,45063,Lierde,2,6626
202106,Gemeente,46024,Stekene,10,18863
202106,Gemeente,51012,Brugelette,0,3692
202106,Gemeente,51019,Vloesberg,0,3435
202106,Gemeente,52048,Montigny-Le-Tilleul,2,10130
202106,Gemeente,53039,Hensies,1,6838
202106,Gemeente,55050,Écaussinnes,5,11303
202106,Gemeente,55086,Manage (vanaf 2019),7,23547
202106,Gemeente,56016,Chimay,7,9647
202106,Gemeente,61063,Verlaine,0,4246
202106,Gemeente,61068,Villers-Le-Bouillet,2,6592
202106,Gemeente,61079,Anthisnes,0,4198
202106,Gemeente,62027,Dalhem,0,7601
202106,Gemeente,62060,Juprelle,2,9463
202106,Gemeente,62063,Luik,1005,196296
202106,Gemeente,62108,Wezet,4,17865
202106,Gemeente,62122,Trooz,10,8312
202106,Gemeente,63003,Aubel,0,4276
202106,Gemeente,63049,Malmedy,6,12778
202106,Gemeente,63072,Spa,5,10122
202106,Gemeente,63076,Theux,0,12011
202106,Gemeente,63084,Welkenraedt,6,10175
202106,Gemeente,63088,Plombières,2,10547
202106,Gemeente,64015,Braives,0,6384
202106,Gemeente,64029,Geer,2,3487
202106,Gemeente,71022,Hasselt,49,79089
202106,Gemeente,71024,Herk-De-Stad,2,12716
202106,Gemeente,71045,Nieuwerkerken,1,7062
202106,Gemeente,71070,Heusden-Zolder,0,34207
202106,Gemeente,72003,Bocholt,6,13253
202106,Gemeente,72020,Lommel,7,34255
202106,Gemeente,72038,Hechtel-Eksel,0,12543
